Ticker,Nama,Type,Region
HAIS.JK,Hasnur Internasional Shipping,Stock,Indonesia
HAJJ.JK,Arsy Buana Travelindo Tbk.,Stock,Indonesia
HALO.JK,Haloni Jane Tbk.,Stock,Indonesia
HATM.JK,Habco Trans Maritima Tbk.,Stock,Indonesia
HBAT.JK,Minahasa Membangun Hebat Tbk.,Stock,Indonesia
HDFA.JK,Radana Bhaskara Finance Tbk.,Stock,Indonesia
HDIT.JK,Hensel Davest Indonesia Tbk.,Stock,Indonesia
HDTX.JK,Panasia Indo Resources Tbk.,Stock,Indonesia
HEAL.JK,Medikaloka Hermina Tbk.,Stock,Indonesia
HELI.JK,Jaya Trishindo Tbk.,Stock,Indonesia
HERO.JK,Hero Supermarket Tbk.,Stock,Indonesia
HEXA.JK,Hexindo Adiperkasa Tbk.,Stock,Indonesia
HILL.JK,Hillcon Tbk.,Stock,Indonesia
HITS.JK,Humpuss Intermoda Transportasi,Stock,Indonesia
HKMU.JK,HK Metals Utama Tbk.,Stock,Indonesia
HMSP.JK,H.M. Sampoerna Tbk.,Stock,Indonesia
HOKI.JK,Buyung Poetra Sembada Tbk.,Stock,Indonesia
HOME.JK,Hotel Mandarine Regency Tbk.,Stock,Indonesia
HOMI.JK,Grand House Mulia Tbk.,Stock,Indonesia
HOPE.JK,Harapan Duta Pertiwi Tbk.,Stock,Indonesia
HOTL.JK,Saraswati Griya Lestari Tbk.,Stock,Indonesia
HRME.JK,Menteng Heritage Realty Tbk.,Stock,Indonesia
HRTA.JK,Hartadinata Abadi Tbk.,Stock,Indonesia
HRUM.JK,Harum Energy Tbk.,Stock,Indonesia
HUMI.JK,Humpuss Maritim Internasional,Stock,Indonesia
HYGN.JK,Ecocare Indo Pasifik Tbk.,Stock,Indonesia
IATA.JK,MNC Energy Investments Tbk.,Stock,Indonesia
IBFN.JK,Intan Baru Prana Tbk.,Stock,Indonesia
IBOS.JK,Indo Boga Sukses Tbk.,Stock,Indonesia
IBST.JK,Inti Bangun Sejahtera Tbk.,Stock,Indonesia
